electrode,theta_mean,theta_std,interpolated,participant_id,condition,task,n_epochs_used,n_bad_channels
Fp1,0.2978531039186644,0.11714955127741129,False,sub-01,NS,eyesclosed,75,0
AF3,0.29330725832957666,0.13059181544509485,False,sub-01,NS,eyesclosed,75,0
AF7,0.2812745664262522,0.10339661793157863,False,sub-01,NS,eyesclosed,75,0
Fz,0.2500200604295503,0.10571965130673953,False,sub-01,NS,eyesclosed,75,0
F1,0.28276459419313704,0.12120451577295632,False,sub-01,NS,eyesclosed,75,0
F3,0.29776145551242045,0.11673402495124222,False,sub-01,NS,eyesclosed,75,0
F5,0.30102010194256223,0.10134277062723736,False,sub-01,NS,eyesclosed,75,0
F7,0.27621598691621374,0.08287978122075754,False,sub-01,NS,eyesclosed,75,0
FC1,0.24809243332270264,0.08082497354950938,False,sub-01,NS,eyesclosed,75,0
FC3,0.2792009292928802,0.08452893464439629,False,sub-01,NS,eyesclosed,75,0
FC5,0.27835250046709964,0.08076397353117906,False,sub-01,NS,eyesclosed,75,0
FT7,0.25386496411598986,0.08312763993359891,False,sub-01,NS,eyesclosed,75,0
Cz,0.18050956703151658,0.07277474425796357,False,sub-01,NS,eyesclosed,75,0
C1,0.21782104349647088,0.0713146081142039,False,sub-01,NS,eyesclosed,75,0
C3,0.22751876079036318,0.0782559604950209,False,sub-01,NS,eyesclosed,75,0
C5,0.25644599877519153,0.08660598190326815,False,sub-01,NS,eyesclosed,75,0
T7,0.24487724332271224,0.08295248415765988,False,sub-01,NS,eyesclosed,75,0
CP1,0.19008475731916394,0.07485379815217644,False,sub-01,NS,eyesclosed,75,0
CP3,0.2128880631301176,0.08273902636844792,False,sub-01,NS,eyesclosed,75,0
CP5,0.2405340017660212,0.09177483701239625,False,sub-01,NS,eyesclosed,75,0
TP7,0.24490039971829133,0.09325568071120864,False,sub-01,NS,eyesclosed,75,0
TP9,0.1634036201565362,0.0650162490111659,False,sub-01,NS,eyesclosed,75,0
Pz,0.15197623801062468,0.0689810056011515,False,sub-01,NS,eyesclosed,75,0
P1,0.16833595042854013,0.07602529943068817,False,sub-01,NS,eyesclosed,75,0
P3,0.1846525022081759,0.08484139343226413,False,sub-01,NS,eyesclosed,75,0
P5,0.21857934006860225,0.09268592042882971,False,sub-01,NS,eyesclosed,75,0
P7,0.2394132192417477,0.09324218022831364,False,sub-01,NS,eyesclosed,75,0
PO3,0.1756403976022743,0.08508656073892681,False,sub-01,NS,eyesclosed,75,0
PO7,0.22279397111122579,0.09464618297225531,False,sub-01,NS,eyesclosed,75,0
Oz,0.18468893703542036,0.0812485609602069,False,sub-01,NS,eyesclosed,75,0
O1,0.19140455201616988,0.08849921231560114,False,sub-01,NS,eyesclosed,75,0
Fpz,0.2710341702919582,0.11377193634739265,False,sub-01,NS,eyesclosed,75,0
Fp2,0.24540750225327596,0.0976031542970777,False,sub-01,NS,eyesclosed,75,0
AF4,0.2570464635992123,0.10494246430428263,False,sub-01,NS,eyesclosed,75,0
AF8,0.22774904399842474,0.08516057178810373,False,sub-01,NS,eyesclosed,75,0
F2,0.22367613948225198,0.08578884143964938,False,sub-01,NS,eyesclosed,75,0
F4,0.224203847697689,0.08607179193908748,False,sub-01,NS,eyesclosed,75,0
F6,0.22851090871732613,0.0853764771392842,False,sub-01,NS,eyesclosed,75,0
F8,0.23273764206882183,0.08237459343048134,False,sub-01,NS,eyesclosed,75,0
FC2,0.20732626478144398,0.07434406942392063,False,sub-01,NS,eyesclosed,75,0
FC4,0.21557215647664185,0.08089614608093587,False,sub-01,NS,eyesclosed,75,0
FC6,0.21783048953582967,0.07510512660627384,False,sub-01,NS,eyesclosed,75,0
FT8,0.2338092160926891,0.08420590588379417,False,sub-01,NS,eyesclosed,75,0
C2,0.18906941544222258,0.07863630846803144,False,sub-01,NS,eyesclosed,75,0
C4,0.16489176484743492,0.060920027019717424,False,sub-01,NS,eyesclosed,75,0
C6,0.21651688029743654,0.08232228367797088,False,sub-01,NS,eyesclosed,75,0
T8,0.2439176231638531,0.09008095996586968,False,sub-01,NS,eyesclosed,75,0
CPz,0.1657572704453102,0.07014826987203897,False,sub-01,NS,eyesclosed,75,0
CP2,0.1589071516425196,0.07020080194378835,False,sub-01,NS,eyesclosed,75,0
CP4,0.18435322089201908,0.07625638305222641,False,sub-01,NS,eyesclosed,75,0
CP6,0.2084474480179904,0.09416112205706252,False,sub-01,NS,eyesclosed,75,0
TP8,0.24680345211822033,0.10739156104675082,False,sub-01,NS,eyesclosed,75,0
TP10,0.2766580825381979,0.11273299562382723,False,sub-01,NS,eyesclosed,75,0
P2,0.1513069265954898,0.06534541564255106,False,sub-01,NS,eyesclosed,75,0
P4,0.17813048176774104,0.08040997448431295,False,sub-01,NS,eyesclosed,75,0
P6,0.18972286049733128,0.08602914240672527,False,sub-01,NS,eyesclosed,75,0
P8,0.21819262248757607,0.0998458970253109,False,sub-01,NS,eyesclosed,75,0
POz,0.17227140942721333,0.08304297912280435,False,sub-01,NS,eyesclosed,75,0
PO4,0.2062660468510013,0.08441323824903599,False,sub-01,NS,eyesclosed,75,0
PO8,0.22698559405955085,0.10242587066805259,False,sub-01,NS,eyesclosed,75,0
O2,0.21765013207149073,0.09109837241073723,False,sub-01,NS,eyesclosed,75,0
Fp1,0.29697180182117683,0.1464918967462918,False,sub-01,NS,eyesopen,75,1
AF3,0.30877234739252174,0.12311815096627331,False,sub-01,NS,eyesopen,75,1
AF7,0.29072076150136317,0.1470412896450767,False,sub-01,NS,eyesopen,75,1
Fz,0.29620289588713805,0.09616117648465063,False,sub-01,NS,eyesopen,75,1
F1,0.3034432867760834,0.09068650730797863,False,sub-01,NS,eyesopen,75,1
F3,0.3104206010004477,0.11443345773938446,False,sub-01,NS,eyesopen,75,1
F5,0.30707613148804075,0.13393699550648513,False,sub-01,NS,eyesopen,75,1
F7,0.2844300694475089,0.13084231896002774,False,sub-01,NS,eyesopen,75,1
FC1,0.2657546100935645,0.08393239104769763,False,sub-01,NS,eyesopen,75,1
FC3,0.2686610160243366,0.09018143828840491,False,sub-01,NS,eyesopen,75,1
FC5,0.26734341774812154,0.10427713642607321,False,sub-01,NS,eyesopen,75,1
FT7,0.22545689537774796,0.10230912959803388,False,sub-01,NS,eyesopen,75,1
Cz,0.21630670606794808,0.068417498590126,False,sub-01,NS,eyesopen,75,1
C1,0.2059674926602345,0.061723673745693514,False,sub-01,NS,eyesopen,75,1
C3,0.20029697746501107,0.06772181117464814,False,sub-01,NS,eyesopen,75,1
C5,0.20484331502247344,0.0718009259119215,False,sub-01,NS,eyesopen,75,1
T7,0.142222978992487,0.05645075867737874,False,sub-01,NS,eyesopen,75,1
CP1,0.1828611787115587,0.0627734564345476,False,sub-01,NS,eyesopen,75,1
CP3,0.19565903701637236,0.0697841683320358,False,sub-01,NS,eyesopen,75,1
CP5,0.2111557145443056,0.07430056733647485,False,sub-01,NS,eyesopen,75,1
TP7,0.14643887416767812,0.08138541281035298,False,sub-01,NS,eyesopen,75,1
TP9,0.14469065389736177,0.0585587148854367,True,sub-01,NS,eyesopen,75,1
Pz,0.1863378211514032,0.060379731460743324,False,sub-01,NS,eyesopen,75,1
P1,0.19737107312005875,0.06643003173506841,False,sub-01,NS,eyesopen,75,1
P3,0.2328206491500561,0.08850028449430705,False,sub-01,NS,eyesopen,75,1
P5,0.2302675255447621,0.09333412268180015,False,sub-01,NS,eyesopen,75,1
P7,0.19709003557319993,0.07922856334892045,False,sub-01,NS,eyesopen,75,1
PO3,0.2417787820679942,0.08562227362622954,False,sub-01,NS,eyesopen,75,1
PO7,0.16398393644049786,0.06550409863382711,False,sub-01,NS,eyesopen,75,1
Oz,0.19109988994566693,0.06785507096432816,False,sub-01,NS,eyesopen,75,1
O1,0.19226654233030904,0.06805604620713754,False,sub-01,NS,eyesopen,75,1
Fpz,0.2591274958521092,0.10899297215979523,False,sub-01,NS,eyesopen,75,1
Fp2,0.20912727315163407,0.0827601764178718,False,sub-01,NS,eyesopen,75,1
AF4,0.25396559304894656,0.08331277423705045,False,sub-01,NS,eyesopen,75,1
AF8,0.22259564967930204,0.07933172493779966,False,sub-01,NS,eyesopen,75,1
F2,0.2863655539139983,0.10182299829020755,False,sub-01,NS,eyesopen,75,1
F4,0.24967883660556708,0.08095063222443215,False,sub-01,NS,eyesopen,75,1
F6,0.2226248744485957,0.07625674514653695,False,sub-01,NS,eyesopen,75,1
F8,0.1914581697465578,0.06850044821795157,False,sub-01,NS,eyesopen,75,1
FC2,0.2499206773860699,0.07751209249816977,False,sub-01,NS,eyesopen,75,1
FC4,0.23073974679401302,0.08598168175770061,False,sub-01,NS,eyesopen,75,1
FC6,0.17759080297057406,0.06698498371537341,False,sub-01,NS,eyesopen,75,1
FT8,0.12317400726641625,0.05196701821056797,False,sub-01,NS,eyesopen,75,1
C2,0.20539005456744705,0.07671970028130579,False,sub-01,NS,eyesopen,75,1
C4,0.15735318231965167,0.06389596729714786,False,sub-01,NS,eyesopen,75,1
C6,0.2016567556910129,0.07059672393468613,False,sub-01,NS,eyesopen,75,1
T8,0.13567191723919345,0.08289710188123192,False,sub-01,NS,eyesopen,75,1
CPz,0.1900643404049682,0.0667508581730497,False,sub-01,NS,eyesopen,75,1
CP2,0.16975516999905765,0.06560872117983019,False,sub-01,NS,eyesopen,75,1
CP4,0.1914626260131312,0.0716741837601489,False,sub-01,NS,eyesopen,75,1
CP6,0.15330250998813444,0.0623814392003828,False,sub-01,NS,eyesopen,75,1
TP8,0.1909096272242136,0.07016308603953988,False,sub-01,NS,eyesopen,75,1
TP10,0.1346119159236159,0.048658255842320405,False,sub-01,NS,eyesopen,75,1
P2,0.1925503665506339,0.0712396684966408,False,sub-01,NS,eyesopen,75,1
P4,0.18690646225400567,0.060061998176065154,False,sub-01,NS,eyesopen,75,1
P6,0.17384839885384226,0.05745390951750805,False,sub-01,NS,eyesopen,75,1
P8,0.16343832939170555,0.0521154736877355,False,sub-01,NS,eyesopen,75,1
POz,0.22614091366449918,0.07664418799832363,False,sub-01,NS,eyesopen,75,1
PO4,0.17757712962233,0.060150654946835816,False,sub-01,NS,eyesopen,75,1
PO8,0.13129027867362925,0.04392882087375423,False,sub-01,NS,eyesopen,75,1
O2,0.1273353306915708,0.04380845142137213,False,sub-01,NS,eyesopen,75,1
Fp1,0.27061798065785414,0.10409924957698166,False,sub-01,SD,eyesclosed,75,0
AF3,0.29220265747172164,0.11906001987946915,False,sub-01,SD,eyesclosed,75,0
AF7,0.2491290980931177,0.09409672382105787,False,sub-01,SD,eyesclosed,75,0
Fz,0.2967924256939108,0.13667527793088982,False,sub-01,SD,eyesclosed,75,0
F1,0.2951666177670671,0.12081095618172108,False,sub-01,SD,eyesclosed,75,0
F3,0.28321450976053586,0.10572223379309828,False,sub-01,SD,eyesclosed,75,0
F5,0.26055091070868824,0.09977780442276388,False,sub-01,SD,eyesclosed,75,0
F7,0.23759064133314917,0.0894612830662069,False,sub-01,SD,eyesclosed,75,0
FC1,0.2706854358813216,0.09794408835339634,False,sub-01,SD,eyesclosed,75,0
FC3,0.2720809423788595,0.09714404741118059,False,sub-01,SD,eyesclosed,75,0
FC5,0.2561752574628379,0.08210887989460443,False,sub-01,SD,eyesclosed,75,0
FT7,0.25304059025107933,0.09337257216604931,False,sub-01,SD,eyesclosed,75,0
Cz,0.22846942659923608,0.11245636630287636,False,sub-01,SD,eyesclosed,75,0
C1,0.2471137563409685,0.10793772563485331,False,sub-01,SD,eyesclosed,75,0
C3,0.2547088361913604,0.08992623215224615,False,sub-01,SD,eyesclosed,75,0
C5,0.2699984967230248,0.0936400110402571,False,sub-01,SD,eyesclosed,75,0
T7,0.2746796152126085,0.0968136623872671,False,sub-01,SD,eyesclosed,75,0
CP1,0.2378335341708772,0.12040863718453572,False,sub-01,SD,eyesclosed,75,0
CP3,0.25992361146737325,0.11115412185526323,False,sub-01,SD,eyesclosed,75,0
CP5,0.27558541833674915,0.10744396290678694,False,sub-01,SD,eyesclosed,75,0
TP7,0.26548683263293904,0.09805567242515498,False,sub-01,SD,eyesclosed,75,0
TP9,0.21196718412150026,0.08934226046998925,False,sub-01,SD,eyesclosed,75,0
Pz,0.20378779688329002,0.11087779560297387,False,sub-01,SD,eyesclosed,75,0
P1,0.21560098037753278,0.12032012354315202,False,sub-01,SD,eyesclosed,75,0
P3,0.23572101078038074,0.12553155597515198,False,sub-01,SD,eyesclosed,75,0
P5,0.2637091884667507,0.11750197781927571,False,sub-01,SD,eyesclosed,75,0
P7,0.261427236618537,0.10142677338895659,False,sub-01,SD,eyesclosed,75,0
PO3,0.223755373651954,0.12667243051857482,False,sub-01,SD,eyesclosed,75,0
PO7,0.24074151119963985,0.10593622416821283,False,sub-01,SD,eyesclosed,75,0
Oz,0.18340709492831916,0.07869524138391096,False,sub-01,SD,eyesclosed,75,0
O1,0.1911955996731249,0.08722834368861888,False,sub-01,SD,eyesclosed,75,0
Fpz,0.2653415836162082,0.11545284552412748,False,sub-01,SD,eyesclosed,75,0
Fp2,0.2338106713747076,0.08872758211536735,False,sub-01,SD,eyesclosed,75,0
AF4,0.2701480827723973,0.11493856222139762,False,sub-01,SD,eyesclosed,75,0
AF8,0.19881458448032846,0.07331063636882867,False,sub-01,SD,eyesclosed,75,0
F2,0.2719838334052721,0.09964813245887168,False,sub-01,SD,eyesclosed,75,0
F4,0.24814771376571523,0.08412572327195264,False,sub-01,SD,eyesclosed,75,0
F6,0.2327157386234984,0.08405400850159028,False,sub-01,SD,eyesclosed,75,0
F8,0.21737318209640624,0.0806875822661578,False,sub-01,SD,eyesclosed,75,0
FC2,0.24292922859718086,0.08380941768409395,False,sub-01,SD,eyesclosed,75,0
FC4,0.24310879297100277,0.08359185865704878,False,sub-01,SD,eyesclosed,75,0
FC6,0.24918204163109056,0.08912198290027172,False,sub-01,SD,eyesclosed,75,0
FT8,0.25044442846657367,0.09184418407163236,False,sub-01,SD,eyesclosed,75,0
C2,0.239505323572134,0.10802290790993062,False,sub-01,SD,eyesclosed,75,0
C4,0.24046994988505366,0.09266698468416543,False,sub-01,SD,eyesclosed,75,0
C6,0.25427507407493843,0.09180256372914077,False,sub-01,SD,eyesclosed,75,0
T8,0.26071011438155206,0.09264660011593928,False,sub-01,SD,eyesclosed,75,0
CPz,0.2171738483035255,0.11040763018750623,False,sub-01,SD,eyesclosed,75,0
CP2,0.2133893163611307,0.0985555378466385,False,sub-01,SD,eyesclosed,75,0
CP4,0.23481158958016754,0.10451104672805966,False,sub-01,SD,eyesclosed,75,0
CP6,0.2354801627252274,0.09598771054023256,False,sub-01,SD,eyesclosed,75,0
TP8,0.2703600825549332,0.10516753846348102,False,sub-01,SD,eyesclosed,75,0
TP10,0.2558670807964788,0.09573282193373099,False,sub-01,SD,eyesclosed,75,0
P2,0.21712531105657581,0.1102318559481243,False,sub-01,SD,eyesclosed,75,0
P4,0.20505310723192952,0.09579621267534072,False,sub-01,SD,eyesclosed,75,0
P6,0.23232650945029154,0.10742481017144814,False,sub-01,SD,eyesclosed,75,0
P8,0.2537698058879528,0.10755871296813733,False,sub-01,SD,eyesclosed,75,0
POz,0.21687872745992215,0.11466711301313139,False,sub-01,SD,eyesclosed,75,0
PO4,0.22763350705599308,0.104748801245013,False,sub-01,SD,eyesclosed,75,0
PO8,0.22527447127037614,0.10161073563894918,False,sub-01,SD,eyesclosed,75,0
O2,0.22577291024703305,0.10105403176221121,False,sub-01,SD,eyesclosed,75,0
Fp1,0.14853626479022733,0.059095111825541224,False,sub-02,NS,eyesclosed,75,0
AF3,0.14313348457692604,0.05850193438933145,False,sub-02,NS,eyesclosed,75,0
AF7,0.09165538397574763,0.032959584336797576,False,sub-02,NS,eyesclosed,75,0
Fz,0.14070351613566545,0.057059866239758374,False,sub-02,NS,eyesclosed,75,0
F1,0.1618237507712309,0.06417606896178525,False,sub-02,NS,eyesclosed,75,0
F3,0.15973979003811803,0.06110307849927154,False,sub-02,NS,eyesclosed,75,0
F5,0.15889191221197255,0.06714147385093495,False,sub-02,NS,eyesclosed,75,0
F7,0.15645100663783626,0.06187943225124401,False,sub-02,NS,eyesclosed,75,0
FC1,0.10987981734767673,0.04870358572236129,False,sub-02,NS,eyesclosed,75,0
FC3,0.15851608665744854,0.06662530589986934,False,sub-02,NS,eyesclosed,75,0
FC5,0.15941904909167084,0.06782421036826448,False,sub-02,NS,eyesclosed,75,0
FT7,0.16264353105390533,0.06073185434722132,False,sub-02,NS,eyesclosed,75,0
Cz,0.12033249856627179,0.0419088041255865,False,sub-02,NS,eyesclosed,75,0
C1,0.12390655479526295,0.04947758478985607,False,sub-02,NS,eyesclosed,75,0
C3,0.13593021866930816,0.059830404849660686,False,sub-02,NS,eyesclosed,75,0
C5,0.13073731148957687,0.051721129814254835,False,sub-02,NS,eyesclosed,75,0
T7,0.1163301119059634,0.044640125765823546,False,sub-02,NS,eyesclosed,75,0
CP1,0.10044715101735884,0.04306546152541925,False,sub-02,NS,eyesclosed,75,0
CP3,0.09424384243536024,0.04248775296385367,False,sub-02,NS,eyesclosed,75,0
CP5,0.08310119580881023,0.040627615553932336,False,sub-02,NS,eyesclosed,75,0
TP7,0.09073877822389374,0.03678213476553279,False,sub-02,NS,eyesclosed,75,0
TP9,0.109766174400717,0.038965051087267825,False,sub-02,NS,eyesclosed,75,0
Pz,0.08690329019569726,0.037067749709838,False,sub-02,NS,eyesclosed,75,0
P1,0.06950716520851867,0.033599812739813655,False,sub-02,NS,eyesclosed,75,0
P3,0.05387150903250185,0.03132938467171241,False,sub-02,NS,eyesclosed,75,0
P5,0.05829344807792186,0.03291150913076933,False,sub-02,NS,eyesclosed,75,0
P7,0.07848628298753417,0.03608256802385723,False,sub-02,NS,eyesclosed,75,0
PO3,0.0644004679291623,0.03349316263494144,False,sub-02,NS,eyesclosed,75,0
PO7,0.05929155174654054,0.0329747347490695,False,sub-02,NS,eyesclosed,75,0
Oz,0.07722618572282695,0.03513782331428603,False,sub-02,NS,eyesclosed,75,0
O1,0.09328245540122734,0.041056809856651375,False,sub-02,NS,eyesclosed,75,0
Fpz,0.14960281017991084,0.05980423049652137,False,sub-02,NS,eyesclosed,75,0
Fp2,0.15853542428105497,0.06393761511131893,False,sub-02,NS,eyesclosed,75,0
AF4,0.15474932339554706,0.05993618224270424,False,sub-02,NS,eyesclosed,75,0
AF8,0.16764795973315053,0.06257196236908465,False,sub-02,NS,eyesclosed,75,0
F2,0.16880508581007897,0.058739540353536485,False,sub-02,NS,eyesclosed,75,0
F4,0.16289324328542626,0.06026138795679129,False,sub-02,NS,eyesclosed,75,0
F6,0.160082461179506,0.062212573408112745,False,sub-02,NS,eyesclosed,75,0
F8,0.16498077504272998,0.06363201086924446,False,sub-02,NS,eyesclosed,75,0
FC2,0.14882625858004797,0.047195398018190164,False,sub-02,NS,eyesclosed,75,0
FC4,0.15784974966920615,0.05278002668739753,False,sub-02,NS,eyesclosed,75,0
FC6,0.16500359062792747,0.06027104188285357,False,sub-02,NS,eyesclosed,75,0
FT8,0.16816302073925146,0.061992316453796326,False,sub-02,NS,eyesclosed,75,0
C2,0.149512778164505,0.04749364137931695,False,sub-02,NS,eyesclosed,75,0
C4,0.11548612132152772,0.04197032173660594,False,sub-02,NS,eyesclosed,75,0
C6,0.1112588791725338,0.04157679289325046,False,sub-02,NS,eyesclosed,75,0
T8,0.1367597578458123,0.04812617582916578,False,sub-02,NS,eyesclosed,75,0
CPz,0.14609853136713405,0.055359196073448434,False,sub-02,NS,eyesclosed,75,0
CP2,0.09830732151793464,0.03472022771263751,False,sub-02,NS,eyesclosed,75,0
CP4,0.10021057108816785,0.038608513305113085,False,sub-02,NS,eyesclosed,75,0
CP6,0.1109288151484981,0.04305175878750242,False,sub-02,NS,eyesclosed,75,0
TP8,0.12328415565924339,0.04593315308953983,False,sub-02,NS,eyesclosed,75,0
TP10,0.12481056810958432,0.0417688580048676,False,sub-02,NS,eyesclosed,75,0
P2,0.09601924001350777,0.03869546391575709,False,sub-02,NS,eyesclosed,75,0
P4,0.08761773890355015,0.03573664357627437,False,sub-02,NS,eyesclosed,75,0
P6,0.0799216680417488,0.03617030226281866,False,sub-02,NS,eyesclosed,75,0
P8,0.07439810243954892,0.03276216037248363,False,sub-02,NS,eyesclosed,75,0
POz,0.08379598382619441,0.03581734564782086,False,sub-02,NS,eyesclosed,75,0
PO4,0.05921271233642768,0.02932251364477973,False,sub-02,NS,eyesclosed,75,0
PO8,0.05117289102907021,0.023664789934811102,False,sub-02,NS,eyesclosed,75,0
O2,0.07450115187202742,0.032875985030699,False,sub-02,NS,eyesclosed,75,0
Fp1,0.19763507393641225,0.06323353151575321,False,sub-02,NS,eyesopen,75,1
AF3,0.1941207030107182,0.06681948721426753,False,sub-02,NS,eyesopen,75,1
AF7,0.14464799953510935,0.05538189902603315,False,sub-02,NS,eyesopen,75,1
Fz,0.1923646292279889,0.0691012320942526,False,sub-02,NS,eyesopen,75,1
F1,0.1748533378718051,0.07064187536954374,False,sub-02,NS,eyesopen,75,1
F3,0.18106333184576762,0.07812603970130678,False,sub-02,NS,eyesopen,75,1
F5,0.18422182635892018,0.07945839214104,False,sub-02,NS,eyesopen,75,1
F7,0.18251978923831055,0.07802762550543857,False,sub-02,NS,eyesopen,75,1
FC1,0.11206050726795738,0.050704710016774616,False,sub-02,NS,eyesopen,75,1
FC3,0.15144949843623756,0.06580158203183188,False,sub-02,NS,eyesopen,75,1
FC5,0.16199958170558018,0.0728090350763891,False,sub-02,NS,eyesopen,75,1
FT7,0.1796136288448773,0.078835236897338,False,sub-02,NS,eyesopen,75,1
Cz,0.12875777627460464,0.06191662141482159,False,sub-02,NS,eyesopen,75,1
C1,0.1344458284873542,0.060943874433292855,False,sub-02,NS,eyesopen,75,1
C3,0.15289840862222195,0.06572958708390483,False,sub-02,NS,eyesopen,75,1
C5,0.1701902701962473,0.07020616021156446,False,sub-02,NS,eyesopen,75,1
T7,0.14237050503322174,0.06636693955089193,False,sub-02,NS,eyesopen,75,1
CP1,0.12985572045128743,0.06851200573515469,False,sub-02,NS,eyesopen,75,1
CP3,0.13026066429478506,0.06527918868064346,False,sub-02,NS,eyesopen,75,1
CP5,0.1388283721301658,0.06415365764264107,False,sub-02,NS,eyesopen,75,1
TP7,0.15676135547089262,0.06506406182444012,False,sub-02,NS,eyesopen,75,1
TP9,0.1690269313340309,0.0656838653565109,False,sub-02,NS,eyesopen,75,1
Pz,0.12270574720175782,0.06886869546075125,False,sub-02,NS,eyesopen,75,1
P1,0.11441489629882907,0.06173315747982496,False,sub-02,NS,eyesopen,75,1
P3,0.11214319715899798,0.060163687671607374,False,sub-02,NS,eyesopen,75,1
P5,0.12475540090823416,0.0656292197268103,False,sub-02,NS,eyesopen,75,1
P7,0.12280818805174773,0.05723092317169454,False,sub-02,NS,eyesopen,75,1
PO3,0.1151910414955947,0.062271026714797034,False,sub-02,NS,eyesopen,75,1
PO7,0.12789497740985462,0.06127745229317332,False,sub-02,NS,eyesopen,75,1
Oz,0.14284640190811837,0.05634709953966428,False,sub-02,NS,eyesopen,75,1
O1,0.13326507870075016,0.05825275761943525,True,sub-02,NS,eyesopen,75,1
Fpz,0.19395786608060786,0.066505413025455,False,sub-02,NS,eyesopen,75,1
Fp2,0.19605819719848308,0.0637959578373838,False,sub-02,NS,eyesopen,75,1
AF4,0.19802836474271404,0.06411770942626577,False,sub-02,NS,eyesopen,75,1
AF8,0.19025360385692336,0.0687763325351763,False,sub-02,NS,eyesopen,75,1
F2,0.19104992505608012,0.06627580728607145,False,sub-02,NS,eyesopen,75,1
F4,0.1920575596257123,0.06619646205447535,False,sub-02,NS,eyesopen,75,1
F6,0.19816777127570107,0.06737619915003608,False,sub-02,NS,eyesopen,75,1
F8,0.20386604881556844,0.06781120194511119,False,sub-02,NS,eyesopen,75,1
FC2,0.14206841553569927,0.05170021090317001,False,sub-02,NS,eyesopen,75,1
FC4,0.17151546676024806,0.06246821193532918,False,sub-02,NS,eyesopen,75,1
FC6,0.19148853472986946,0.07227658692159772,False,sub-02,NS,eyesopen,75,1
FT8,0.18956722325966988,0.069661689074964,False,sub-02,NS,eyesopen,75,1
C2,0.15883833376229675,0.0644086110154826,False,sub-02,NS,eyesopen,75,1
C4,0.13919418181363888,0.052777691055414876,False,sub-02,NS,eyesopen,75,1
C6,0.13196214925739091,0.05191522330730302,False,sub-02,NS,eyesopen,75,1
T8,0.1708137532556315,0.06135071989442281,False,sub-02,NS,eyesopen,75,1
CPz,0.18347613852346256,0.0632821729216966,False,sub-02,NS,eyesopen,75,1
CP2,0.1330705202153424,0.05655015112359657,False,sub-02,NS,eyesopen,75,1
CP4,0.13114774167527168,0.054062740745453634,False,sub-02,NS,eyesopen,75,1
CP6,0.16447272287974607,0.056876568840974584,False,sub-02,NS,eyesopen,75,1
TP8,0.16025758962779793,0.05804274053645978,False,sub-02,NS,eyesopen,75,1
TP10,0.13710943466604283,0.04563591234176692,False,sub-02,NS,eyesopen,75,1
P2,0.1316818902585109,0.07190084418802681,False,sub-02,NS,eyesopen,75,1
P4,0.12370900611833296,0.05645751691609395,False,sub-02,NS,eyesopen,75,1
P6,0.13525001893232616,0.06029525915661659,False,sub-02,NS,eyesopen,75,1
P8,0.14829885616902955,0.06516982142968983,False,sub-02,NS,eyesopen,75,1
POz,0.16329969346518788,0.05917338747671164,False,sub-02,NS,eyesopen,75,1
PO4,0.1251980312235782,0.06118744068165597,False,sub-02,NS,eyesopen,75,1
PO8,0.13466182047433864,0.060323616403791344,False,sub-02,NS,eyesopen,75,1
O2,0.1363829315012961,0.049383287589440515,False,sub-02,NS,eyesopen,75,1
Fp1,0.1864113737698753,0.07811955526528136,False,sub-02,SD,eyesclosed,75,0
AF3,0.18967495176523255,0.0875576843773815,False,sub-02,SD,eyesclosed,75,0
AF7,0.18696302001775356,0.07836053596235462,False,sub-02,SD,eyesclosed,75,0
Fz,0.18913393962848285,0.08959341425677735,False,sub-02,SD,eyesclosed,75,0
F1,0.18967170671215722,0.09079500832485896,False,sub-02,SD,eyesclosed,75,0
F3,0.16943038860810214,0.07680486746806969,False,sub-02,SD,eyesclosed,75,0
F5,0.20281907472401878,0.08182966297818117,False,sub-02,SD,eyesclosed,75,0
F7,0.20574772014478693,0.07884445623081247,False,sub-02,SD,eyesclosed,75,0
FC1,0.184786156135472,0.07422665315908461,False,sub-02,SD,eyesclosed,75,0
FC3,0.20348447572024225,0.08036220338272203,False,sub-02,SD,eyesclosed,75,0
FC5,0.21567029330885415,0.08342267855794867,False,sub-02,SD,eyesclosed,75,0
FT7,0.2243535327040829,0.08768363677241192,False,sub-02,SD,eyesclosed,75,0
Cz,0.18755872239991486,0.08142716434938432,False,sub-02,SD,eyesclosed,75,0
C1,0.19006593869681715,0.08243470751052098,False,sub-02,SD,eyesclosed,75,0
C3,0.19964239752485222,0.08514230950331152,False,sub-02,SD,eyesclosed,75,0
C5,0.20692662697113898,0.07995049765619262,False,sub-02,SD,eyesclosed,75,0
T7,0.20826609373799918,0.08093467659119014,False,sub-02,SD,eyesclosed,75,0
CP1,0.20089882292711836,0.08341251002609083,False,sub-02,SD,eyesclosed,75,0
CP3,0.20528335753744764,0.09580522184785506,False,sub-02,SD,eyesclosed,75,0
CP5,0.21629469058921733,0.09110430903252652,False,sub-02,SD,eyesclosed,75,0
TP7,0.22154385838355523,0.08544257324910405,False,sub-02,SD,eyesclosed,75,0
TP9,0.20181192876803192,0.08248398273785801,False,sub-02,SD,eyesclosed,75,0
Pz,0.21109510906025997,0.0810286910447594,False,sub-02,SD,eyesclosed,75,0
P1,0.208268870590833,0.08628478483017285,False,sub-02,SD,eyesclosed,75,0
P3,0.22017818692531188,0.09302518987032704,False,sub-02,SD,eyesclosed,75,0
