epoch_idx,roi,theta_power,participant_id,condition,task
16,centro_temporal,0.214807666643617,sub-01,NS,eyesclosed
17,centro_temporal,0.2609567898268817,sub-01,NS,eyesclosed
18,centro_temporal,0.2572931240023044,sub-01,NS,eyesclosed
19,centro_temporal,0.183796608495664,sub-01,NS,eyesclosed
20,centro_temporal,0.23973112435982677,sub-01,NS,eyesclosed
21,centro_temporal,0.20294942356626983,sub-01,NS,eyesclosed
22,centro_temporal,0.16252629967889548,sub-01,NS,eyesclosed
23,centro_temporal,0.20435651729939114,sub-01,NS,eyesclosed
24,centro_temporal,0.15743323466679437,sub-01,NS,eyesclosed
25,centro_temporal,0.17996898487055618,sub-01,NS,eyesclosed
26,centro_temporal,0.2035510636931063,sub-01,NS,eyesclosed
27,centro_temporal,0.19773294004501976,sub-01,NS,eyesclosed
28,centro_temporal,0.3870032494836515,sub-01,NS,eyesclosed
29,centro_temporal,0.27973325395049464,sub-01,NS,eyesclosed
30,centro_temporal,0.27388557143355746,sub-01,NS,eyesclosed
31,centro_temporal,0.280293943502876,sub-01,NS,eyesclosed
32,centro_temporal,0.21487081534794422,sub-01,NS,eyesclosed
33,centro_temporal,0.17994531992034066,sub-01,NS,eyesclosed
34,centro_temporal,0.298532580521346,sub-01,NS,eyesclosed
35,centro_temporal,0.250674935670736,sub-01,NS,eyesclosed
36,centro_temporal,0.20604634904720684,sub-01,NS,eyesclosed
37,centro_temporal,0.18351682427110758,sub-01,NS,eyesclosed
38,centro_temporal,0.18196289035982174,sub-01,NS,eyesclosed
39,centro_temporal,0.128941137917511,sub-01,NS,eyesclosed
40,centro_temporal,0.2666711784718287,sub-01,NS,eyesclosed
41,centro_temporal,0.15693011281584818,sub-01,NS,eyesclosed
42,centro_temporal,0.133567620501258,sub-01,NS,eyesclosed
43,centro_temporal,0.11924641601962672,sub-01,NS,eyesclosed
44,centro_temporal,0.197835383289035,sub-01,NS,eyesclosed
45,centro_temporal,0.30384417934501123,sub-01,NS,eyesclosed
46,centro_temporal,0.19802467920645328,sub-01,NS,eyesclosed
47,centro_temporal,0.2692831949904658,sub-01,NS,eyesclosed
48,centro_temporal,0.30648312234556047,sub-01,NS,eyesclosed
49,centro_temporal,0.20162864840972955,sub-01,NS,eyesclosed
50,centro_temporal,0.1848570044447805,sub-01,NS,eyesclosed
51,centro_temporal,0.18401426508501867,sub-01,NS,eyesclosed
52,centro_temporal,0.22435794612830753,sub-01,NS,eyesclosed
